,Project ID,Project Title,Budget,Country,Country Code,Link,Donors,VF or Non-VF,Output Count,Project Description
75,93964.0,Promoting Sustainable Rural Energy Technologies (RETs) for Household and Productive Uses,73137680.0,Ethiopia,ETH,PIMS+ https://co.pims.undp.org/project/view?id=5200,"
(1) GEF: 4,480,500.00
(2) Co-financing: 69,045,899",VF,10,
76,127444.0,National Child Project under the Africa Minigrids Program - Ethiopia,-1.0,Ethiopia,ETH,PIMS+ https://co.pims.undp.org/project/view?id=6338,"(1) GEF: 2,890,826
(2) Co-financing: 13,773,751",VF,13,
77,1000459.0,Accelerating Gender Equality and Women Empowerment through Clean Energy Investment,136000.0,Ethiopia,ETH,," UNDP Headquaters:136,000",Non-VF,7,
78,1001707.0,Climate Promise 2- Improving Access to Clean Cooking Energy Sources,270000.0,Ethiopia,ETH,,"UNDP: 270,000",Non-VF,4,
79,"6161, 106273",Emissions Trading and MRV in Belarus,840000.0,Belarus,BLR,https://co.pims.undp.org/project/view?id=6161,GEF,VF,2,
80,79213,Bahrain Unit for Sustainable Energy,7254715.0,Bahrain,BHR,http://open.undp.org/projects/00079213,"Gov. of Bahrain, 
Office of Minister of Energy",Non-VF,1,
81,117173.0,Renewable Energy for Rural Livelihood,2400000.0,Nepal,NPL,"https://www.aepc.gov.np/rerl/public/
https://www.undp.org/nepal/projects/rerl
https://www.undp.org/nepal/projects/reras","ADB, UNDP",Non-VF,6,
82,106668.0,Support to increased production of and access to renewable energy systems in East and West Sepik Provinces (STREIT),3954035.0,Papua New Guinea,PNG,https://open.undp.org/projects/00106668,EU,Non-VF,5,
83,100396.0,Enhancing Green Transformation in the Pacific towards Net-Zero Emissions and Climate-Resilient Development for Peace ,3726000.0,Papua New Guinea,PNG,,Japan,Non-VF,1,
84,UNDP-MDG-00132364,Africa mini grids projects,824590.0,Madagascar,MDG,,,Non-VF,6,
85,141254,Résilience & Dvpt Territorial 'UNDP-MDG-00129975 & UNDP-MDG-00129976,2286000.0,Madagascar,MDG,https://open.undp.org/projects/00141254,,Non-VF,4,
86,129782,Financement Intégré Energies R  (UNDP-MDG-00123355),8748560.0,Madagascar,MDG,https://open.undp.org/projects/00129782,Mptf-Joint Sdg Fund,Non-VF,4,
87,missing-VEN-1,"Ensuring access to affordable, secure, sustainable and modern energy for all (SDG 7)",1400000000.0,Venezuela,VEN,Not yet available,Venezuela ? ,Non-VF,1,
88,91460,Sustainable Energy For ALL,720000.0,Lesotho,LSO,5367 Lesotho Sustainable Energy for All (undp.org),,Non-VF,7,
89,missing-LSO-1,UNDP Moonshot: Greening the UN House,57000.0,Lesotho,LSO,,,Non-VF,1,
90,132730,"Climate Adaptation, Water and Energy Programme",14251782.0,Zimbabwe,ZWE,,FCDO,Non-VF,1,
91,132179,TRAC  2 Energy Offer project ,1500000.0,Zimbabwe,ZWE,,TRAC 2,Non-VF,4,
92,133752,Joint SDG Fund Project ,45000000.0,Zimbabwe,ZWE,,Joint SDG Fund,Non-VF,1,
93,missing-ZWE-1,Solar for Health (S4H),21312267.61,Zimbabwe,ZWE,,Global Fund (Next phase will be funded by GCF),Non-VF,1,
94,146913.0,Fortalecimiento institucional CENACE,200000.0,Ecuador,ECU,https://open.undp.org/projects/00146913,Government,Non-VF,1,
95,110105.0,Fortalecimiento a la gestión ambiental: Estrategia de Electromovilidad de la Empresa Eléctrica Quito (EEQ),439879.0,Ecuador,ECU,https://open.undp.org/projects/00110105,Government,Non-VF,3,
96,127866.0,Green Recovery,15000.0,Ecuador,ECU,https://open.undp.org/projects/00137302,"Climate Promise, BMZ",Non-VF,1,
97,1002264.0,ACCESS: Accelerating Access to Low Carbon Urban Mobility Solutions through Digitalization,164409.53,Ecuador,ECU,https://open.undp.org/projects/01002264,,,9,
98,6411,Sustainable Cities Impact Program - Morocco,9416167.0,Morocco,MAR,https://co.pims.undp.org/project/view?id=6411,GEF,VF,1,
99,5284,PV pumping systems for irrigation,2639726.0,Morocco,MAR,https://co.pims.undp.org/project/view?id=5284,GEF,VF,1,
100,6542.0,PASBET,3439041.0,Pakistan,PAK,PIMS+,GEF,VF,8,
101,134230.0,Climate Promise-II ,540000.0,Pakistan,PAK,,Climate Promise ,Non-VF,4,
102,124739.0,SIDA UNDP Strategic Collaboration on Env and CC,36443657.0,Bureau Policy & Prog Support,NA,http://open.undp.org/projects/00124739,SIDA,Non-VF,1,
103,139866.0,Programme Initiation plan energy hub,1174548.0,Bureau Policy & Prog Support,NA,http://open.undp.org/projects/00139866,,Non-VF,2,
104,111467.0,Linking the Kigali Amendment with EE in the RAC Sector,11205031.0,Bureau Policy & Prog Support,NA,http://open.undp.org/projects/00111467,"Climateworks Foundation, Montreal Protocol, New Zealand, Canada, GIZ",Non-VF,1,
105,130309,Implementación NDC Honduras,100000.0,Honduras,HND,https://open.undp.org/projects/00141844,,Non-VF,1,
106,90074.0,GCS intervention on environment (Biomass),869916.0,Sri Lanka,LKA,http://open.undp.org/projects/00090074,UNDP,Non-VF,1,
107,119366.0,Transitioning to sustainable energy uses for the agro-in,1007201.0,Sri Lanka,LKA,http://open.undp.org/projects/00119366,Gov. of China,Non-VF,3,
108,134410.0,MP Projects Sri Lanka,261353.0,Sri Lanka,LKA,http://open.undp.org/projects/00134410,Montreal Protocol,Non-VF,3,
109,142290.0,Climate Promise: From Pledge to Impact,324000.0,Sri Lanka,LKA,http://open.undp.org/projects/00142290,SIDA,Non-VF,3,
110,145829.0,Mainstreaming E-Mobility Through the Conversion of Tuk-T,1151772.0,Sri Lanka,LKA,http://open.undp.org/projects/00145829,UNDP,Non-VF,2,
111,100344.0,Enhancing Food and Energy Security through the promotion of Green Technologies,996991.0,Sri Lanka,LKA,https://open.undp.org/projects/00100344,Japan,Non-VF,3,
112,144399.0,Citizen and Private Sector Support for Crisis Relief,43615.0,Sri Lanka,LKA,https://open.undp.org/projects/00144399,"Japan, Thailand, Private Sector, Citi Foundation",Non-VF,1,
113,1000353.0,Strengthening Smallholder Farmers and Micro/Home-Based Agriculture industries for Enhanced Food & Livelihood Security,24533.0,Sri Lanka,LKA,https://open.undp.org/projects/00100353 ,Japan,Non-VF,1,
114,106888,Promotion des Petites Centrales Hydroélectriques/Projet de « Promotion des systèmes solaires autonomes en faveur des femmes en milieu rural en République Centrafricaine »,1500000.0,Central African Republic,CAF,https://open.undp.org/projects/00105867,UNDP,Non-VF,1,
115,5680,Small hydropower based mini-grids,2645000.0,Central African Republic,CAF,https://co.pims.undp.org/project/view?id=5680,UNDP/GEF,VF,1,
116,142609.0,Market Transformation for solar energy PV acceleration,867505.0,Albania,ALB,https://www.undp.org/albania/projects/market-transformation-solar-energy-pv-acceleration,Government of Germany; Government of Japan,Non-VF,3,
117,132984.0,Croatia Education Recovery Support (Albania),1194743.13,Albania,ALB,https://open.undp.org/projects/00132984,Government of Croatia,Non-VF,1,
