,Country Code,Electricity access,Clean cooking,Energy efficiency,Renewable energy,Overall
145,LVA,0.0,1900449.0,19004.49,789066.4248,677129.9787
146,MAC,0.0,,6762.83,57010.656899999994,21257.828966666664
147,MAF,0.0,,325.53,,162.765
148,MAR,0.0,35991685.331999995,366887.72,3922029.7268000003,10070150.694699999
149,MCO,0.0,36922.0,369.22,,12430.406666666668
150,MDA,0.0,2524454.54,26351.3,580782.652,782897.1229999999
151,MDG,18703391.83388889,282251.77,95217.85166111114,23361979.0029,10610710.114612501
152,MDV,0.0,510322.49600000004,5144.38,5710.2618,130294.28445
153,MEA,13256331.10954278,460410792.4357742,4667103.1789045725,,159444742.2414072
154,MEX,755987.8842259828,106972558.39800002,1252423.14115774,13028224.426800001,30502298.462545935
155,MHL,364.40595225059815,27740.906999999996,430.485940477494,5079.321,8403.779973182023
156,MIC,348465456.0257203,4082984540.2607574,55039381.2197428,,1495496459.1687403
157,MKD,0.0,1618646.711,20725.31,338237.0592,494402.27005
158,MLI,10492864.709882148,191016.36,107311.75290117852,16266104.256,6764324.269695831
159,MLT,0.0,515332.0,5153.32,39680.564,140041.471
160,MMR,15814765.71101676,16694749.375,376084.32288983243,30905320.043,15947729.862976648
161,MNA,13256331.091912132,392133812.59619784,3985537.9290808784,,136458560.53906363
162,MNE,0.0,387694.94399999996,6213.06,240693.9444,158650.4871
163,MNG,62592.41540332541,1706465.53,32317.425845966747,109371.92199999999,477686.823312323
164,MNP,0.0,,495.87,0.0,165.29
165,MOZ,21636503.041053742,1590090.1889999998,95417.35958946255,24343969.0112,11916494.900210802
166,MRT,2368586.120381892,1916405.304,21300.178796181077,1111155.188,1354361.6977945184
167,MUS,4282.610911585912,1225236.32,12614.57389088414,113157.156,338822.6652006175
168,MWI,16496318.133144207,193770.61,28807.42866855792,14149129.9422,7717006.528503191
169,MYS,0.0,31705993.315,331999.93,1696519.6423000002,8433628.221825
170,NAC,0.0,369602177.0,3696021.77,,124432732.92333333
171,NAM,1088763.980287174,1164897.8639999998,14003.340197128262,763904.1762000001,757892.3401710755
172,NCL,0.0,,2711.3,14641.02,5784.106666666667
173,NER,19648948.90006403,584007.336,46846.90099935972,19668880.403699998,9987170.885190846
174,NGA,92914019.44259071,31249110.75,1154133.8555740928,169578507.67000002,73723942.9295412
175,NIC,749405.8173741077,3796812.99,60064.89182625893,3425914.3545,2008049.5134250917
176,NLD,0.0,17441500.0,174415.0,1489504.1,4776354.775
177,NOR,0.0,5379475.0,53794.75,3355178.5575,2197112.0768750003
178,NPL,2964210.8779660077,10213322.195999999,263844.1612203399,22712902.435300004,9038569.917621586
179,NRU,0.0,12315.0,123.15,75.1215,3128.3178749999997
180,NZL,0.0,5090200.0,50902.0,1509244.3,1662586.575
181,OED,761110.9346498816,1343493707.3306015,13694804.190653501,,452649874.1519683
182,OMN,0.0,4543399.0,45433.99,0.0,1147208.2475
183,OSS,6930473.050211597,18679694.212318797,254507.169497884,,8621558.144009426
184,PAK,55936537.2184049,112007993.313,1712602.037815951,98512506.8976,67042409.86670521
185,PAN,141515.99612014458,3761890.8959999997,41528.80003879855,812070.2836,1189251.4939397357
186,PER,229198.88460707595,28342347.356,330755.5711539292,9032249.827200001,9483637.90974025
187,PHL,3542559.858859003,53851668.96,1086484.17141141,29988648.1521,22117340.285592604
188,PLW,0.0,17972.0,179.72,52.11879999999999,4550.9597
189,PNG,3860857.2908305083,916466.16,58887.82709169492,5176083.876,2503073.788480551
190,POL,0.0,37899070.0,378990.7,4616106.726,10723541.8565
191,PRE,507994414.3430035,177739522.2717604,4762190.236569965,,230165375.61711133
192,PRI,0.0,,32815.38,79413.2196,37409.5332
193,PRK,12335277.951099675,2974758.705,135321.89048900324,2925610.5177,4592742.26607217
194,PRT,0.0,10297081.0,102970.81,2902747.1339,3325699.735975
195,PRY,0.0,4540424.77,66186.95,3977173.8255000003,2145946.386375
196,PSE,0.0,,48032.69,665733.0834,237921.92446666668
197,PSS,315747.6989321409,819587.285974131,22510.713010678595,,385948.5659723168
198,PST,20802.21617245953,1112570286.9197826,11174226.827838276,,374588438.65459776
199,PYF,0.0,,3019.2,23157.264,8725.488
200,QAT,0.0,2760385.0,27603.85,1104.154,697273.251
201,ROU,0.0,16895624.25,192652.5,4535039.85,5405829.15
202,RUS,0.0,124335118.95699999,1440731.39,4639155.075800001,32603751.355699997
203,RWA,7020157.5091393385,315512.68799999997,61262.044908606615,10235757.4532,4408172.423811986
204,SAS,80122983.0608885,1133349983.146446,18024086.369391114,,410499017.5255752
205,SAU,0.0,35997107.0,359971.07,10799.132099999999,9091969.300525
206,SDN,19825033.308353055,24308945.842000004,246154.52691646945,27655314.437799998,18008862.02876738
207,SEN,4870196.207415689,3977541.04,115659.23792584312,6114236.64,3769408.2813353827
208,SGP,0.0,5685807.0,56858.07,47760.7788,1447606.4622000002
209,SLB,184226.72229947883,62898.380999999994,5069.642777005211,334467.3249,146665.51774412103
210,SLE,6076596.925963931,65871.76,21573.730740360686,6211706.967999999,3093937.346176073
211,SLV,0.0,5776727.057999999,62927.31,1220160.5409000001,1764953.7272249998
212,SMR,0.0,34007.0,340.07,,11449.023333333333
213,SOM,8313014.188573613,529184.512,82240.01811426386,15715126.3048,6159891.255871968
214,SRB,0.0,5505502.5479999995,68991.26,1485381.8278,1764968.9089499998
215,SSA,596023758.977622,202991175.84076816,5551795.860223779,,268188910.22620463
216,SSD,9838194.227048986,0.0,7680.327729510143,2826559.4955,3168108.512569624
217,SSF,596023758.9843897,203089637.9488887,5552780.480156105,,268222059.13781145
218,SST,7335917.12790697,26159621.57037769,350568.5987209303,,11282035.765668528
219,STP,51251.4407764794,7215.152999999999,1673.895592235206,81093.94690000001,35308.60906717865
220,SUR,10898.195091082463,573676.425,5961.668049089175,87417.36,169488.41203504291
221,SVK,0.0,5458827.0,54588.27,962937.0828,1619088.0881999999
222,SVN,0.0,2102419.0,21024.19,438564.60339999996,640501.94835
223,SWE,0.0,10353442.0,103534.42,5474900.129600001,3982969.1374000004
224,SWZ,239312.87384378153,654082.87,9413.421261562185,778641.9725,420362.7844013359
225,SXM,0.0,,423.1,21.155,148.085
226,SYC,0.0,98462.0,984.62,1447.3913999999997,25223.502849999997
227,SYR,2255837.3820866705,20128644.555,185167.5761791333,211880.46899999998,5695382.495566451
228,TCA,265.6553225772012,,440.103446774228,199.24200000000002,301.6669231171431
229,TCD,14800448.616617016,1131839.668,18442.523833829826,12947912.907900002,7224660.9290877115
230,TEA,34168568.81653531,1585526554.469171,20563549.661834646,,546752890.9825137
231,TEC,43279.106498506546,417438200.34626114,4619804.918935015,,140700428.1238982
232,TGO,3883803.545512082,852700.58,45587.76454487917,6434090.217999999,2804045.52701424
233,THA,0.0,59753655.103999995,714756.64,17125569.0944,19398495.209599998
234,TJK,21062.155597058023,7863602.568000001,95221.4484440294,3679860.6192,2914936.697810272
235,TKM,0.0,6244187.562000001,62504.38,3750.2627999999995,1577610.5512
236,TLA,9650198.726606313,562457323.7099555,6250301.862733936,,192785941.43309858
237,TLS,50396.72546569501,176799.32,12495.982745343048,151709.4165,97850.36117775952
238,TMN,13256331.095834546,387560044.0652058,3937505.2390416544,,134917960.13336065
239,TON,0.0,88518.61399999999,1052.54,1862.9958000000001,22858.537449999996
240,TSA,80122983.0608885,1133349983.146446,18024086.369391114,,410499017.5255752
241,TSS,596023758.9843897,203089637.9488887,5552780.480156105,,268222059.13781145
242,TTO,0.0,1518147.0,15181.47,6528.032099999999,384964.125525
243,TUN,0.0,12137399.553999998,121617.23,1483730.206,3435686.7474999996
244,TUR,0.0,80096927.456,841354.28,11879922.4336,23204551.0424
245,TUV,34.39892430969996,7814.713999999999,110.34601075690301,907.6579999999999,2216.7792337666506
246,TZA,37084414.37392087,2776703.31,246201.03626079124,52584590.2396,23172977.23994542
247,UGA,25721629.751787055,222023.055,186829.8124821294,40061840.0442,16548080.665867297
248,UKR,0.0,41881314.501,441320.49,3283424.4456,11401514.859150002
249,UMC,15549665.18267978,2095601566.060327,24797357.778173205,,711982863.00706
250,URY,0.0,3429086.0,34290.86,2083512.6535999998,1386722.3783999998
251,USA,0.0,331501080.0,3315010.8,34542412.536,92339625.834
252,UZB,0.0,28840502.125,342320.5,537443.185,7430066.4525
253,VCT,0.0,98563.344,1046.32,5943.0976,26388.1904
254,VEN,0.0,27635739.41,284904.53,4450208.758599999,8092713.17465
255,VGB,0.0,,309.1,380.19300000000004,229.76433333333338
256,VIR,0.0,,1062.9,3890.2140000000004,1651.0380000000002
257,VNM,0.0,63111591.305,966486.85,18024979.752499998,20525764.476875
258,VUT,101817.30609651149,23688.06,2098.676939034885,99302.841,56726.72100888659
259,WLD,748031786.2090346,5441065565.077003,70729497.37790966,,2086608949.554649
260,WSM,0.0,78449.085,2149.29,73527.2109,38531.396475
261,XKX,0.0,,17901.33,467224.71300000005,161708.681
262,YEM,8472002.938044006,19854688.29,238120.43061955995,1004033.8306,7392211.372315891
263,ZAF,9181605.610997621,51040072.63599999,496203.2138900238,6174202.335,16723020.948971909
264,ZMB,10500249.247826036,1968482.36,84274.65752173965,15993919.175,7136731.360086944
265,ZWE,7404282.410441195,4763578.464,82653.83589558807,12770777.79,6255323.125084195
